,unique_id,cuisine,district
0,node/339287577,burger,"1st District, Budapest, Hungary"
1,node/412953469,,"1st District, Budapest, Hungary"
2,node/412953471,chinese,"1st District, Budapest, Hungary"
3,node/427003905,,"1st District, Budapest, Hungary"
4,node/432490789,,"1st District, Budapest, Hungary"
5,node/648549895,crepe,"1st District, Budapest, Hungary"
6,node/735169195,,"1st District, Budapest, Hungary"
7,node/735169449,,"1st District, Budapest, Hungary"
8,node/735178492,regional,"1st District, Budapest, Hungary"
9,node/735179122,hungarian;breakfast;regional,"1st District, Budapest, Hungary"
10,node/735180225,hungarian;italian,"1st District, Budapest, Hungary"
11,node/735222454,,"1st District, Budapest, Hungary"
12,node/735225582,,"1st District, Budapest, Hungary"
13,node/735238814,regional,"1st District, Budapest, Hungary"
14,node/735245017,international,"1st District, Budapest, Hungary"
15,node/735245626,international,"1st District, Budapest, Hungary"
16,node/735473060,hungarian,"1st District, Budapest, Hungary"
17,node/735598496,vietnamese,"1st District, Budapest, Hungary"
18,node/735599108,regional,"1st District, Budapest, Hungary"
19,node/735730438,,"1st District, Budapest, Hungary"
20,node/735736257,crepe,"1st District, Budapest, Hungary"
21,node/735737712,,"1st District, Budapest, Hungary"
22,node/735739155,,"1st District, Budapest, Hungary"
23,node/735773774,,"1st District, Budapest, Hungary"
24,node/736649660,,"1st District, Budapest, Hungary"
25,node/737583438,,"1st District, Budapest, Hungary"
26,node/737588150,regional,"1st District, Budapest, Hungary"
27,node/891426538,,"1st District, Budapest, Hungary"
28,node/891426548,,"1st District, Budapest, Hungary"
29,node/891426558,hungarian,"1st District, Budapest, Hungary"
30,node/891426597,korean;asian,"1st District, Budapest, Hungary"
31,node/891426636,,"1st District, Budapest, Hungary"
32,node/910630615,,"1st District, Budapest, Hungary"
33,node/1473383227,turkish,"1st District, Budapest, Hungary"
34,node/1473383236,,"1st District, Budapest, Hungary"
35,node/1697851640,mexican,"1st District, Budapest, Hungary"
36,node/1747433614,,"1st District, Budapest, Hungary"
37,node/1913792468,,"1st District, Budapest, Hungary"
38,node/1930400913,french,"1st District, Budapest, Hungary"
39,node/1978265927,italian,"1st District, Budapest, Hungary"
40,node/2330639436,hungarian,"1st District, Budapest, Hungary"
41,node/2330643555,,"1st District, Budapest, Hungary"
42,node/2330643893,,"1st District, Budapest, Hungary"
43,node/2330646653,hungarian;regional,"1st District, Budapest, Hungary"
44,node/2330652994,,"1st District, Budapest, Hungary"
45,node/2330666536,,"1st District, Budapest, Hungary"
46,node/2330671929,regional,"1st District, Budapest, Hungary"
47,node/2330673211,italian,"1st District, Budapest, Hungary"
48,node/2330675830,,"1st District, Budapest, Hungary"
49,node/2330679948,regional,"1st District, Budapest, Hungary"
50,node/2330688383,,"1st District, Budapest, Hungary"
51,node/2330690817,,"1st District, Budapest, Hungary"
52,node/2330693529,,"1st District, Budapest, Hungary"
53,node/2682220085,,"1st District, Budapest, Hungary"
54,node/2958561612,,"1st District, Budapest, Hungary"
55,node/2958581110,,"1st District, Budapest, Hungary"
56,node/3114994398,,"1st District, Budapest, Hungary"
57,node/3152585261,vietnamese,"1st District, Budapest, Hungary"
58,node/3499370369,cake,"1st District, Budapest, Hungary"
59,node/3508691910,regional,"1st District, Budapest, Hungary"
60,node/3508739611,turkish,"1st District, Budapest, Hungary"
61,node/3565317497,,"1st District, Budapest, Hungary"
62,node/3976919460,regional,"1st District, Budapest, Hungary"
63,node/4141398519,,"1st District, Budapest, Hungary"
64,node/4244030689,italian_pizza,"1st District, Budapest, Hungary"
65,node/4288359807,,"1st District, Budapest, Hungary"
66,node/4352831938,regional,"1st District, Budapest, Hungary"
67,node/4430739675,regional,"1st District, Budapest, Hungary"
68,node/4653675225,,"1st District, Budapest, Hungary"
69,node/4879323992,pizza;sandwich,"1st District, Budapest, Hungary"
70,node/4888298956,regional;fine_dining,"1st District, Budapest, Hungary"
71,node/5253781921,mexican,"1st District, Budapest, Hungary"
72,node/5370757461,burger,"1st District, Budapest, Hungary"
73,node/5480075299,,"1st District, Budapest, Hungary"
74,node/5529014621,,"1st District, Budapest, Hungary"
75,node/5998737729,,"1st District, Budapest, Hungary"
76,node/6025768723,,"1st District, Budapest, Hungary"
77,node/6029085914,burger;pizza;sandwich,"1st District, Budapest, Hungary"
78,node/6176656186,hungarian;burger;steak_house;coffee_shop;local,"1st District, Budapest, Hungary"
79,node/6888296086,italian,"1st District, Budapest, Hungary"
80,node/6953922172,,"1st District, Budapest, Hungary"
81,node/6956110005,,"1st District, Budapest, Hungary"
82,node/7069280285,,"1st District, Budapest, Hungary"
83,node/7215241285,,"1st District, Budapest, Hungary"
84,node/7724506003,,"1st District, Budapest, Hungary"
85,node/7884992013,,"1st District, Budapest, Hungary"
86,way/215135363,,"1st District, Budapest, Hungary"
87,way/268364305,pizza;regional,"1st District, Budapest, Hungary"
88,way/464999559,,"1st District, Budapest, Hungary"
89,way/706621037,pizza,"1st District, Budapest, Hungary"
90,way/706621042,sandwich,"1st District, Budapest, Hungary"
91,way/706919832,greek,"1st District, Budapest, Hungary"
92,way/706919833,turkish,"1st District, Budapest, Hungary"
93,way/706919838,turkish,"1st District, Budapest, Hungary"
94,way/756491478,asian;chinese;deli,"1st District, Budapest, Hungary"
0,node/339287472,,"2nd District, Budapest, Hungary"
1,node/339287549,burger,"2nd District, Budapest, Hungary"
2,node/341135057,,"2nd District, Budapest, Hungary"
3,node/354718672,pizza,"2nd District, Budapest, Hungary"
4,node/490875512,sandwich,"2nd District, Budapest, Hungary"
5,node/490878656,turkish,"2nd District, Budapest, Hungary"
6,node/736148479,,"2nd District, Budapest, Hungary"
7,node/736150691,,"2nd District, Budapest, Hungary"
8,node/736152705,,"2nd District, Budapest, Hungary"
9,node/736634381,,"2nd District, Budapest, Hungary"
10,node/745605775,,"2nd District, Budapest, Hungary"
11,node/745607176,,"2nd District, Budapest, Hungary"
12,node/746783878,chinese,"2nd District, Budapest, Hungary"
13,node/763545712,,"2nd District, Budapest, Hungary"
14,node/823495187,,"2nd District, Budapest, Hungary"
15,node/871134190,,"2nd District, Budapest, Hungary"
16,node/994669849,,"2nd District, Budapest, Hungary"
17,node/1276125365,hungarian;langos;burger,"2nd District, Budapest, Hungary"
18,node/1704407547,pizza,"2nd District, Budapest, Hungary"
19,node/1720299630,italian;pizza,"2nd District, Budapest, Hungary"
20,node/1936316523,pizza,"2nd District, Budapest, Hungary"
21,node/1943847633,italian,"2nd District, Budapest, Hungary"
22,node/1945195422,,"2nd District, Budapest, Hungary"
23,node/2070254603,,"2nd District, Budapest, Hungary"
24,node/2095084818,japanese,"2nd District, Budapest, Hungary"
25,node/2095085739,italian,"2nd District, Budapest, Hungary"
26,node/2295463785,regional,"2nd District, Budapest, Hungary"
